,Series_Title,Genre,Overview
854,Where Eagles Dare,action adventur war,alli agent stage dare raid castl nazi hold american brigadi gener georg carnabi prison that that realli go
855,The Odd Couple,comedi,friend tri share apart idea housekeep lifestyl differ night day
856,The Dirty Dozen,action adventur war,world war ii rebelli armi major assign dozen convict murder train lead mass assassin mission german offic
857,Belle de jour,drama romanc,frigid young housewif decid spend midweek afternoon prostitut
858,A Man for All Seasons,biographi drama histori,stori sir thoma stood king henri viii king reject roman cathol church obtain divorc remarri
859,Repulsion,drama horror thriller,sexrepuls woman disapprov sister boyfriend sink depress horrif vision rape violenc
860,Zulu,drama histori war,outnumb british soldier battl zulu warrior rork drift
861,Goldfinger,action adventur thriller,investig gold magnat smuggl jame bond uncov plot contamin fort knox gold reserv
862,The Birds,drama horror mysteri,wealthi san francisco socialit pursu potenti boyfriend small northern california town slowli take turn bizarr bird kind suddenli begin attack peopl
863,Cape Fear,drama thriller,lawyer famili stalk man help jail
864,Peeping Tom,drama horror thriller,young man murder women use movi camera film die express terror
865,The Magnificent Seven,action adventur western,seven gunfight hire mexican peasant liber villag oppress bandit
866,Les yeux sans visage,drama horror,surgeon caus accid leav daughter disfigur goe extrem new face
867,Invasion of the Body Snatchers,drama horror scifi,smalltown doctor learn popul commun replac emotionless alien duplic
868,Rebel Without a Cause,drama,rebelli young man troubl past come new town find friend enemi
869,The Ladykillers,comedi crime,oddbal crimin plan bank robberi rent room culdesac octogenarian widow pretext classic musician
870,Sabrina,comedi drama romanc,playboy interest daughter famili chauffeur brother better man
871,The Quiet Man,comedi drama romanc,retir american boxer return villag birth ireland fall spirit redhead brother contemptu union
872,The Day the Earth Stood Still,drama scifi,alien land tell peopl earth live peac destroy danger planet
873,The African Queen,adventur drama romanc,wwi africa ginswil riverboat captain persuad straitlac missionari use boat attack enemi warship
874,Gilda,drama filmnoir romanc,smalltim gambler hire work bueno air casino discov employ new wife lover
875,Fantasia,anim famili fantasi,collect anim interpret great work western classic music
876,The Invisible Man,horror scifi,scientist find way invis do murder insan
877,Dark Waters,biographi drama histori,corpor defens attorney take environment lawsuit chemic compani expos lengthi histori pollut
878,Searching,drama mysteri thriller,teenag daughter goe miss desper father tri clue laptop
879,Once Upon a Time... in Hollywood,comedi drama,fade televis actor stunt doubl strive achiev fame success final year hollywood golden age lo angel
880,Nelyubov,drama,coupl go divorc team son disappear bitter argument
881,The Florida Project,drama,set summer film follow precoci sixyearold moone court mischief adventur ragtag playmat bond rebelli care mother live shadow walt disney world
882,Just Mercy,biographi crime drama,worldrenown civil right defens attorney bryan stevenson work free wrongli condemn death row prison
883,Gifted,drama,frank singl man rais child prodigi niec mari drawn custodi battl mother
884,The Peanut Butter Falcon,adventur comedi drama,zak run away care home make dream wrestler come true
885,Victoria,crime drama romanc,young spanish woman recent move berlin find flirtat local guy turn potenti deadli night friend reveal danger secret
886,Mustang,drama,orphan girl seen innoc play boy beach scandal conserv guardian confin forc marriag arrang
887,Guardians of the Galaxy Vol. 2,action adventur comedi,guardian struggl team deal person famili issu notabl starlord encount father ambiti celesti ego
888,Baby Driver,action crime drama,coerc work crime boss young getaway driver find take heist doom fail
889,Only the Brave,action biographi drama,base true stori granit mountain hotshot group elit firefight risk protect town histor wildfir
890,Bridge of Spies,drama histori thriller,cold war american lawyer recruit defend arrest soviet spi court help cia facilit exchang spi soviet captur american u spi plane pilot franci gari power
891,Incredibles 2,anim action adventur,incred famili take new mission involv chang famili role bob parr mr incred manag hous wife helen elastigirl goe save world
892,Moana,anim adventur comedi,ancient polynesia terribl curs incur demigod maui reach moana island answer ocean seek demigod set thing right
893,Sicario,action crime drama,idealist fbi agent enlist govern task forc aid escal war drug border area mexico
894,Creed,drama sport,world heavyweight champion rocki balboa serv trainer mentor adoni johnson son late friend rival apollo creed
895,Leviafan,crime drama,russian coastal town kolya forc fight corrupt mayor told hous demolish recruit lawyer friend help man arriv bring misfortun kolya famili
896,Hell or High Water,action crime drama,divorc father excon older brother resort desper scheme order save famili ranch west texa
897,Philomena,biographi comedi drama,worldweari polit journalist pick stori woman search son taken away decad ago pregnant forc live convent
898,Dawn of the Planet of the Apes,action adventur drama,grow nation genet evolv ape led caesar threaten band human survivor devast viru unleash decad earlier
899,El cuerpo,mysteri thriller,detect search bodi femm fatal gone miss morgu
900,Serbuan maut,action thriller,swat team trap tenement run ruthless mobster armi killer thug
901,End of Watch,action crime drama,shot documentarystyl film follow daili grind young polic offic la partner friend happen meet crimin forc greater
902,Kari-gurashi no Arietti,anim adventur famili,clock famili fourinchtal peopl live anonym famili resid borrow simpl item make home life chang clock teenag daughter arrietti discov
903,A Star Is Born,drama music romanc,musician help young singer fame age alcohol send career downward spiral
904,True Grit,drama western,stubborn teenag enlist help tough marshal track father murder
905,Hævnen,drama romanc,live danish famili cross extraordinari riski friendship come bud loneli frailti sorrow lie wait
906,Despicable Me,anim comedi crime,crimin mastermind use trio orphan girl pawn grand scheme find love profoundli chang better
907,50/50,comedi drama romanc,inspir true stori comedi center yearold guy learn cancer diagnosi subsequ struggl beat diseas
908,Kick-Ass,action comedi crime,dave lizewski unnot high school student comic book fan day decid superhero power train meaning reason
909,Celda 211,action adventur crime,stori men differ side prison riot inmat lead rebellion young guard trap revolt pose prison desper attempt surviv ordeal
910,Moneyball,biographi drama sport,oakland gener manag billi bean success attempt assembl basebal team lean budget employ computergener analysi acquir new player
911,La piel que habito,drama horror thriller,brilliant plastic surgeon haunt past tragedi creat type synthet skin withstand kind damag guinea pig mysteri volatil woman hold key obsess
912,Zombieland,adventur comedi fantasi,shi student tri reach famili ohio guntot tough guy tri twinki pair sister tri amus park join forc travel zombiefil america
913,Die Welle,drama thriller,high school teacher experi demonstr student life like dictatorship spin horribl control form social unit life
914,Sherlock Holmes,action adventur mysteri,detect sherlock holm stalwart partner watson engag battl wit brawn nemesi plot threat england
915,The Blind Side,biographi drama sport,stori michael oher homeless traumat boy allamerican footbal player firstround nfl draft pick help care woman famili
916,The Visitor,drama,colleg professor travel new york citi attend confer find young coupl live apart
917,Seven Pounds,drama,man fate secret embark extraordinari journey redempt forev chang live seven stranger
918,Eastern Promises,action crime drama,teenag die childbirth leav clue journal tie child rape involv violent russian mob famili
919,Stardust,adventur famili fantasi,countrysid town border magic land young man make promis belov hell retriev fallen star ventur magic realm
920,The Secret of Kells,anim adventur famili,young boy remot mediev outpost sieg barbarian raid beckon adventur celebr master illumin arriv ancient book brim secret wisdom power
921,Inside Man,crime drama mysteri,polic detect bank robber highpow broker enter highstak negoti crimin brilliant heist spiral hostag situat
922,Gone Baby Gone,crime drama mysteri,boston area detect investig littl girl kidnap ultim turn crisi profession person
923,La Vie En Rose,biographi drama music,biopic icon french singer édith piaf rais grandmoth brothel discov sing street corner age despit success piaf life fill tragedi
924,Huo Yuan Jia,action biographi drama,biographi chines martial art master huo yuanjia founder spiritu guru jin wu sport feder
925,The Illusionist,drama fantasi mysteri,turnofthecenturi vienna magician use abil secur love woman far social stand
926,Dead Man's Shoes,crime drama thriller,disaffect soldier return hometown thug brutal mentallychalleng brother year ago
927,Harry Potter and the Half-Blood Prince,action adventur famili,harri potter begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past
928,300,action drama,king leonida sparta forc men fight persian thermopyla bc
929,Match Point,drama romanc thriller,turn point life tenni pro fall actress happen date friend soontob brotherinlaw
930,Watchmen,action drama mysteri,superhero exist murder colleagu send activ vigilant rorschach sprawl investig uncov complet chang cours histori know
931,Lord of War,action crime drama,arm dealer confront moral work chase interpol agent
932,Saw,horror mysteri thriller,stranger awaken room recollect got soon discov theyr pawn deadli game perpetr notori serial killer
933,"Synecdoche, New York",drama,theatr director struggl work women life creat lifes replica new york citi insid warehous new play
934,Mysterious Skin,drama,teenag hustler young man obsess alien abduct cross path discov horribl liber truth
935,Jeux d'enfants,comedi drama romanc,adult best friend julien sophi continu odd game start children fearless competit outdo dare outrag stunt act reliev anoth pain game way avoid fact truli meant
936,Un long dimanche de fiançailles,drama mysteri romanc,tell stori young woman relentless search fiancé disappear trench somm world war
937,The Station Agent,comedi drama,friend die man born dwarfism move rural new jersey live life solitud meet chatti hot dog vendor woman deal person loss
938,21 Grams,crime drama thriller,freak accid bring critic ill mathematician griev mother bornagain excon
939,Boksuneun naui geot,crime drama thriller,recent laid factori worker kidnap boss friend daughter hope use ransom money pay sister kidney transplant
940,Finding Neverland,biographi drama famili,stori sir jm barri friendship famili inspir creat peter pan
941,25th Hour,drama,corner dea convict new york drug dealer montgomeri brogan reevalu life remain hour face sevenyear jail term
942,The Butterfly Effect,drama scifi thriller,evan treborn suffer blackout signific event life grow find way rememb lost memori supernatur way alter life read journal
943,28 Days Later...,drama horror scifi,week mysteri incur viru spread uk hand survivor tri sanctuari
944,Batoru rowaiaru,action adventur drama,futur japanes govern captur class ninthgrad student forc kill revolutionari battl royal act
945,The Royal Tenenbaums,comedi drama,eccentr member dysfunct famili reluctantli gather roof variou reason
946,Y tu mamá también,drama,mexico teenag boy attract older woman embark road trip learn thing life friendship sex
947,Harry Potter and the Sorcerer's Stone,adventur famili fantasi,orphan boy enrol school wizardri learn truth famili terribl evil haunt magic world
948,The Others,horror mysteri thriller,woman live darken old famili hous photosensit children convinc home haunt
949,Blow,biographi crime drama,stori georg jung medellín cartel head pablo escobar establish american cocain market s unit state
950,Enemy at the Gates,drama histori war,russian german sniper play game catandmous battl stalingrad
951,Minority Report,action crime mysteri,futur special polic unit abl arrest murder commit crime offic unit accus futur murder
952,The Hurricane,biographi drama sport,stori rubin hurrican carter boxer wrongli imprison murder peopl aid fight prove innoc
953,American Psycho,comedi crime drama,wealthi new york citi invest bank execut patrick bateman hide altern psychopath ego cowork friend delv deeper violent hedonist fantasi
954,Lola rennt,crime drama thriller,botch money deliveri lola minut come deutschmark
955,The Thin Red Line,drama war,adapt jame jone autobiograph novel focus conflict guadalcan second world war
956,Mulan,anim adventur famili,save father death armi young maiden secretli goe place china greatest heroin process
957,Fear and Loathing in Las Vegas,adventur comedi drama,oddbal journalist psychopath lawyer travel la vega seri psychedel escapad
958,Funny Games,crime drama thriller,violent young men mother father son hostag vacat cabin forc play sadist game amus
959,Dark City,mysteri scifi thriller,man struggl memori past includ wife rememb nightmarish world wake
960,Sleepers,crime drama thriller,prank goe disastr wrong group boy sent detent center brutal thirteen year later unexpect random encount guard give chanc reveng
961,Lost Highway,mysteri thriller,anonym videotap presag musician murder convict gangster girlfriend lead mechan astray
962,Sense and Sensibility,drama romanc,rich mr dashwood die leav second wife daughter poor rule inherit eldest daughter titl opposit
963,Die Hard: With a Vengeance,action adventur thriller,john mcclane harlem store owner target german terrorist simon new york citi plan rob feder reserv build
964,Dead Man,adventur drama fantasi,run murder man account william blake encount strang aborigin american man name prepar journey spiritu world
965,The Bridges of Madison County,drama romanc,photograph robert kincaid wander life housewif francesca johnson day s
966,Apollo 13,adventur drama histori,nasa devis strategi return apollo earth safe spacecraft undergo massiv intern damag put live astronaut board jeopardi
967,Trois couleurs: Blanc,comedi drama romanc,wife divorc polish immigr plot
968,Falling Down,action crime drama,ordinari man frustrat variou flaw see societi begin psychot violent lash
969,Dazed and Confused,comedi,adventur high school junior high student day school
970,My Cousin Vinny,comedi crime,new yorker accus murder rural alabama way colleg help cousin loudmouth lawyer trial experi
971,Omohide poro poro,anim drama romanc,twentysevenyearold offic worker travel countrysid reminisc childhood tokyo
972,Delicatessen,comedi crime,postapocalypt surrealist black comedi landlord apart build occasion prepar delicaci odd tenant
973,Home Alone,comedi famili,eightyearold troublemak protect hous pair burglar accident left home famili christma vacat
974,The Godfather: Part III,crime drama,follow michael corleon s seek free famili crime suitabl successor empir
975,When Harry Met Sally...,comedi drama romanc,harri salli known year good friend fear sex ruin friendship
976,The Little Mermaid,anim famili fantasi,mermaid princess make faustian bargain attempt human win princ love
977,The Naked Gun: From the Files of Police Squad!,comedi crime,incompet polic detect frank drebin foil attempt assassin queen elizabeth ii
978,"Planes, Trains & Automobiles",comedi drama,man struggl travel home thanksgiv lovabl oaf shower curtain ring salesman companion
979,Lethal Weapon,action crime thriller,newli pair cop complet opposit asid differ order catch gang drug smuggler
980,Blood Simple,crime drama thriller,owner seedi smalltown texa bar discov employe have affair wife chaotic chain misunderstand lie mischief ensu devis plot murder
981,On Golden Pond,drama,norman curmudgeon estrang relationship daughter chelsea golden pond wife agre care billi son chelsea new boyfriend unexpect relationship bloom
982,Mad Max 2,action adventur scifi,postapocalypt australian wasteland cynic drifter agre help small gasolinerich commun escap hord bandit
983,The Warriors,action crime thriller,near futur charismat leader summon street gang new york citi bid kill warrior fals blame fight way home gang hunt
984,The Muppet Movie,adventur comedi famili,kermit newfound friend trek america success hollywood frog leg merchant kermit
985,Escape from Alcatraz,action biographi crime,alcatraz secur prison time believ escap dare men make possibl success attempt escap infam prison world
986,Watership Down,anim adventur drama,hope escap destruct human develop save commun coloni rabbit led hazel fiver seek safe place set new warren
987,Midnight Express,biographi crime drama,billi hay american colleg student caught smuggl drug turkey thrown prison
988,Close Encounters of the Third Kind,drama scifi,roy neari electr lineman watch quiet ordinari daili life turn upsid close encount ufo
989,The Long Goodbye,comedi crime drama,privat investig philip marlow help friend jam do get implic wife murder
990,Giù la testa,drama war western,lowlif bandit ira explos expert rebel govern hero mexican revolut
991,Kelly's Heroes,adventur comedi war,group soldier sneak enemi line hand secret stash nazi treasur
992,The Jungle Book,anim adventur famili,bagheera panther baloo bear difficult time tri convinc boy leav jungl human civil
993,Blowup,drama mysteri thriller,fashion photograph unknowingli captur death film follow lover park
994,A Hard Day's Night,comedi music music,typic day life beatl boy struggl sir paul mccartney mischiev grandfath check prepar live televis perform
995,Breakfast at Tiffany's,comedi drama romanc,young new york socialit interest young man move apart build past threaten way
996,Giant,drama western,sprawl epic cover life texa cattl rancher famili associ
997,From Here to Eternity,drama romanc war,hawaii privat cruelli punish box unit team captain wife secondincommand fall love
998,Lifeboat,drama war,survivor torpedo merchant ship world war ii lifeboat crew member uboat sank ship
999,The 39 Steps,crime mysteri thriller,man london tri help counterespionag agent agent kill man stand accus run save stop spi ring tri steal secret inform
